Number,Class,Tweet
1,APP,Just love @mandrillapp transactional email service - http://mandrill.com Sorry @SendGrid and @mailjet #timetomoveon
2,APP,@rossdeane Mind submitting a request at http://help.mandrill.com with account details if you haven't already? Glad to take a look!
3,APP,@veroapp Any chance you'll be adding Mandrill support to Vero?
4,APP,@Elie__ @camj59 jparle de relai SMTP!1 million de mail chez mandrill / mois comparé à 1 million sur lite sendgrid y a pas photo avec mailjet
5,APP,"would like to send emails for welcome, password resets, payment notifications, etc. what should i use? was looking at mailgun/mandrill"
6,APP,"From Coworker about using Mandrill:  ""I would entrust email handling to a Pokemon""."
7,APP,@mandrill Realised I did that about 5 seconds after hitting send!
8,APP,Holy shit. It’s here. http://www.mandrill.com/ 
9,APP,"Our new subscriber profile page: activity timeline, aggregate engagement stats, and Mandrill integratio #BJCBranding http://bit.ly/13waU5c "
10,APP,@mandrillapp increases scalability ( http://bit.ly/14myVuH  ) then decreases pricing ( http://bit.ly/13uJA7s  ) #selfinducedcannibalization
11,OTHER,The Beets! RT @MISSMYA: #NameAnAmazingBand MANDRILL!
12,OTHER,RT @LuisSand0val: Fernando Vargas MANDRILL MEXICAN PRIDE MMA
13,OTHER,Photo: oculi-ds: Mandrill by Natalie Manuel http://tmblr.co/ZJqANxhdSWlr 
14,OTHER,@mandrill ME NEITHER!!! we can be :sadpanda: together :(
15,OTHER,"@mandrill n! / ( k! * ( n! - k! ) ) where n = 5 and k = 4, it has been a long time but I think that is it"
16,OTHER,Megaman X - Spark Mandrill Acapella: http://youtu.be/hyx9-kWYjDI  @youtube????
17,OTHER,"@AngelusErrare1 Storm Eagle FTW!!!, nomás no dejes que se le acerque Spark Mandrill XD"
18,OTHER,Gostei de um vídeo @YouTube http://youtu.be/XzNY7zimtnI?aSpark … Mandrill's Stage on guitar (Mega Man X)
19,OTHER,"What is 2-year-old mandrill, JJ, thinking in this pic? http://ow.ly/jFRqf  Re-tweet with your caption."
20,OTHER,"120 years of Moscow Zoo - Mandrill - ????? ????, #postage #stamp 3347 from Soviet Union in 1984 #philately http://tinyurl.com/cguyvzb "
